gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
AATF	DHX37	predicted	-	0.89	predicted	0	inter	5	5	14.8	16.4	15.6	0.0451	0.1224	328	134	9.44198494556121e-05	3.561787815580089e-05	background	background	231.0	6.50188638057065e-05
AATF	E2F2	complex; input	-	1.0	complex	0	inter	5	15	14.8	7.6	11.2	0.0451	0.2171	328	35	9.44198494556121e-05	1.8022067038683821e-06	background	pathway_bridge	181.5	4.811102807974024e-05
AATF	EMG1	predicted	-	0.95	predicted	0	inter	5	5	14.8	4.8	9.8	0.0451	0.05	328	96	9.44198494556121e-05	1.1556019774573105e-05	background	background	212.0	5.29879346150926e-05
AATF	FBL	predicted	-	0.91	predicted	0	inter	5	5	14.8	99.2	57.0	0.0451	0.1533	328	647	9.44198494556121e-05	0.00017318042155194108	background	pathway_bridge	487.5	0.0001338001355037766
AATF	FCF1	predicted	-	0.89	predicted	0	inter	5	5	14.8	8.2	11.5	0.0451	0.0891	328	92	9.44198494556121e-05	2.011739837461182e-05	background	background	210.0	5.726862391511196e-05
AATF	HEATR1	predicted	-	0.95	predicted	0	inter	5	5	14.8	14.2	14.5	0.0451	0.0594	328	239	9.44198494556121e-05	5.8376269706639995e-05	background	background	283.5	7.639805958112604e-05
AATF	IMP3	predicted	-	0.94	predicted	0	inter	5	5	14.8	21.2	18.0	0.0451	0.1828	328	116	9.44198494556121e-05	1.8495579826809008e-05	background	background	222.0	5.645771464121055e-05
AATF	IMP4	predicted	-	0.95	predicted	0	inter	5	5	14.8	31.0	22.9	0.0451	0.287	328	108	9.44198494556121e-05	4.397883465249417e-06	background	background	218.0	4.940886646043076e-05
AATF	KRR1	predicted	-	0.92	predicted	0	inter	5	5	14.8	70.8	42.8	0.0451	0.1863	328	380	9.44198494556121e-05	8.520434549655345e-05	background	background	354.0	8.981209747608277e-05
AATF	MPHOSPH10	predicted	-	0.91	predicted	0	inter	5	5	14.8	50.8	32.8	0.0451	0.2822	328	180	9.44198494556121e-05	7.918070939670753e-06	background	background	254.0	5.1168960197641425e-05
AATF	MRPS12	predicted	-	0.89	predicted	0	inter	5	7	14.8	74.429	44.614	0.0451	0.3101	328	240	9.44198494556121e-05	0.00016782622194039118	background	background	284.0	0.00013112303569800165
AATF	NAT10	predicted	-	0.91	predicted	0	inter	5	4	14.8	42.5	28.65	0.0451	0.13	328	327	9.44198494556121e-05	3.667844271637704e-05	background	background	327.5	6.554914608599457e-05
AATF	NOC4L	predicted	-	0.91	predicted	0	inter	5	5	14.8	27.4	21.1	0.0451	0.1489	328	184	9.44198494556121e-05	1.858715848146731e-05	background	background	256.0	5.65035039685397e-05
AATF	NOL11	predicted	-	0.89	predicted	0	inter	5	5	14.8	14.8	14.8	0.0451	0.1194	328	124	9.44198494556121e-05	3.3011250628332886e-05	background	background	226.0	6.37155500419725e-05
AATF	NOL6	predicted	-	0.96	predicted	0	inter	5	5	14.8	22.8	18.8	0.0451	0.151	328	151	9.44198494556121e-05	6.323895900140151e-06	background	background	239.5	5.0371872677876126e-05
AATF	NOP14	predicted	-	0.98	predicted	0	inter	5	5	14.8	28.4	21.6	0.0451	0.1535	328	185	9.44198494556121e-05	7.02954879041696e-05	background	background	256.5	8.235766867989085e-05
AATF	NOP56	predicted	-	0.93	predicted	0	inter	5	9	14.8	73.556	44.178	0.0451	0.1277	328	576	9.44198494556121e-05	0.00014012197440846984	background	pathway_bridge	452.0	0.00011727091193204097
AATF	NOP58	predicted	-	0.95	predicted	0	inter	5	10	14.8	40.2	27.5	0.0451	0.134	328	300	9.44198494556121e-05	7.046855877415503e-05	background	pathway_bridge	314.0	8.244420411488356e-05
AATF	NPM1	predicted	-	0.88	predicted	0	inter	5	36	14.8	88.583	51.692	0.0451	0.0711	328	1246	9.44198494556121e-05	0.0017812292573903012	background	structural_hub	787.0	0.0009378245534229566
